id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,,Copacabana,-22.96599,-43.1794,Entire home/apt,350,5,272,2022-04-23,1.87,1,311,8,
556930647599893392,Venha passar uma pernoite em um veleiro na Urca!,198206849,Andréia,,Urca,-22.94781,-43.16351,Private room,280,1,1,2022-02-19,0.25,1,365,1,
1174007,100% Best View In Copa In Suite 2,3962758,Thiago Luiz,,Copacabana,-22.97277,-43.17966,Private room,107,2,177,2022-06-07,1.69,6,357,29,
8410797,Ipanema(Arpoador) 100mdo Mar/ Jan & Carnaval +Fev,42038091,Sheila,,Ipanema,-22.98871,-43.19334,Private room,1000,3,1,2017-09-28,0.02,3,362,0,
28053241,Navegar a  Bordo de um Veleiro Francês no Rio!,193860988,Luciano,,Urca,-22.95056,-43.17175,Private room,1850,2,0,,,1,180,0,
249616,Flat at Barra Near by WINDSOR HOTEL,1307761,Malí,,Barra da Tijuca,-23.01097,-43.32266,Entire home/apt,195,3,220,2020-04-20,1.73,2,24,0,
249842,"Copacabana, central e perto da praia",1309444,Sonia,,Copacabana,-22.96794,-43.18969,Private room,90,2,140,2022-04-08,1.12,3,6,14,
24480,"Nice and cozy near Ipanema Beach, w/ home office",99249,Goya,,Ipanema,-22.98405,-43.20189,Entire home/apt,671,3,85,2018-02-14,0.59,1,281,0,
251701,LEBLON BEACHFRONT VILLA APT.2,1319991,Jake,,Vidigal,-22.99037,-43.23115,Entire home/apt,516,7,27,2019-11-13,0.21,11,365,0,
251868,Great & comfy studio Copa!,1321287,Helena,,Copacabana,-22.9792,-43.1901,Entire home/apt,120,4,85,2022-03-01,0.66,2,68,2,
32539051,APART-HOTEL VIEIRA SOUTO 510,66213641,Lucia,,Ipanema,-22.98737,-43.20967,Entire home/apt,1500,2,6,2022-03-07,0.15,1,364,3,
25026,Beautiful Modern Decorated Studio in Copa,102840,Viviane,,Copacabana,-22.97735,-43.19105,Entire home/apt,188,4,248,2022-03-15,1.69,1,133,10,
14883302,Flat no melhor local de Ipanema,30383865,Rafael,,Ipanema,-22.98745,-43.20388,Entire home/apt,950,3,4,2019-07-09,0.06,1,81,0,
256323,Garden Studio - Home away from Home,1348172,Jennifer,,Santa Teresa,-22.91742,-43.1833,Entire home/apt,169,3,203,2022-05-30,1.63,1,119,18,
35764,COPACABANA SEA BREEZE  -  RIO - 25  X Superhost,153691,Patricia Miranda & Paulo,,Copacabana,-22.98107,-43.19136,Entire home/apt,180,3,398,2022-06-18,2.79,1,53,37,
257618,"Great Dbl Bed/Pvt Bath, Leme, 1 min from the Sea",1355685,Jorge,,Leme,-22.96102,-43.16858,Private room,217,2,39,2018-12-17,0.31,2,241,0,
262466,APTO BOTAFOGO - BEM LOCALIZADO,1377161,Ana Cristina,,Botafogo,-22.95508,-43.18251,Entire home/apt,250,1,3,2016-01-05,0.03,1,89,0,
921262,Apartamento cobertura Copacabana,4952896,Mauricio,,Copacabana,-22.97165,-43.17551,Entire home/apt,170,3,262,2022-05-02,2.34,1,137,7,
48305,Bright 6bed Penthouse Seconds from Beach,70933,Goitaca,,Ipanema,-22.98591,-43.20302,Entire home/apt,1548,2,113,2022-06-08,0.82,8,280,32,
14233530,4 SUÍTES - Frente para o mar,86536634,Thaisa,,Barra da Tijuca,-23.01352,-43.32084,Entire home/apt,1600,2,9,2022-01-16,0.13,1,338,5,
264816,Duplex in BARRA  w/private terrace,259815,Valerie & Alex,,Barra da Tijuca,-23.00291,-43.39086,Entire home/apt,268,28,39,2022-05-24,0.32,2,48,6,
48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,,Copacabana,-22.98528,-43.19264,Private room,100,3,43,2022-05-30,0.76,2,34,1,
